item_id,store_id,avg_pred,reorder_point,safety_stock
FOODS_3_282,CA_3,60.15525,423.07285,1.9861084
FOODS_1_096,WI_2,53.70097,377.85498,1.9481695
FOODS_3_252,CA_1,36.434334,257.22488,2.1845305
FOODS_3_586,CA_2,34.128727,240.719,1.8179026
FOODS_3_120,WI_3,32.617348,230.36024,2.0388138
FOODS_3_252,TX_1,29.597744,209.08888,1.9046704
FOODS_3_288,CA_2,28.110014,199.00447,2.23436
FOODS_3_723,CA_3,24.403671,173.00945,2.1837528
HOUSEHOLD_1_110,WI_2,23.53027,167.35764,2.64575
FOODS_3_635,CA_3,23.258865,165.15591,2.3438637
FOODS_3_318,WI_3,20.744879,147.41441,2.200251
FOODS_3_714,TX_3,20.17798,142.95703,1.7111728
HOUSEHOLD_1_110,CA_3,20.123377,142.65352,1.7898992
HOUSEHOLD_1_459,CA_3,19.492859,138.3331,1.8830822
FOODS_3_607,TX_1,19.064829,134.95052,1.496726
FOODS_3_376,WI_3,17.390657,123.76589,2.0312924
FOODS_3_154,WI_2,17.333723,123.735725,2.3996642
FOODS_3_120,CA_2,16.920406,120.15809,1.7152481
FOODS_3_252,WI_3,16.813213,119.59053,1.898032
HOUSEHOLD_1_418,CA_3,16.394024,116.49324,1.7350749
FOODS_3_547,WI_2,16.101702,114.66023,1.9483192
FOODS_3_789,WI_2,15.828429,112.50484,1.705839
FOODS_3_086,TX_3,15.454454,110.20083,2.0196533
FOODS_3_064,CA_2,15.083036,107.00415,1.422903
HOUSEHOLD_1_447,TX_2,14.484345,103.56799,2.1775753
HOUSEHOLD_1_465,WI_2,14.418899,102.46301,1.5307162
HOUSEHOLD_1_521,CA_3,14.100894,100.74956,2.0432923
FOODS_3_377,TX_1,13.823859,98.68807,1.9210633
FOODS_3_491,CA_1,13.025751,93.381874,2.2016068
FOODS_3_282,WI_1,12.2099905,87.66561,2.1956818
FOODS_3_376,TX_3,12.182031,86.96035,1.6861354
HOUSEHOLD_1_351,WI_2,12.167557,87.288795,2.115896
FOODS_3_389,TX_1,12.133519,86.53329,1.5986546
FOODS_1_218,CA_3,12.014772,85.869675,1.7662679
FOODS_3_435,WI_3,11.959207,85.31511,1.6006527
HOUSEHOLD_1_277,CA_3,11.643547,83.16378,1.6589516
FOODS_3_681,CA_2,10.920756,78.8206,2.3753033
FOODS_2_347,WI_2,10.847397,77.39739,1.465615
FOODS_3_389,TX_3,10.783987,77.22553,1.7376277
HOUSEHOLD_1_096,CA_1,10.72189,77.01786,1.9646274
FOODS_3_499,TX_1,10.6488905,76.23778,1.6955346
FOODS_3_348,CA_3,10.62324,76.20398,1.8412962
FOODS_3_135,TX_3,9.923526,70.802925,1.3382431
FOODS_2_347,CA_2,9.903451,71.28953,1.9653615
FOODS_3_389,CA_2,9.53045,68.52131,1.8081568
HOBBIES_1_048,CA_3,9.139659,66.26882,2.291209
FOODS_3_117,TX_3,8.947893,65.05111,2.4158528
FOODS_2_181,TX_3,8.715418,63.105774,2.0978444
FOODS_3_307,CA_3,8.646437,62.561947,2.036892
FOODS_1_012,TX_2,8.637677,62.46491,2.0011737
HOUSEHOLD_1_418,WI_3,8.630959,62.19511,1.7784026
FOODS_2_276,WI_2,8.610785,62.886044,2.6105516
HOBBIES_1_048,CA_4,8.5624075,61.78547,1.8486216
FOODS_3_086,WI_2,8.467668,61.052708,1.779031
FOODS_3_580,CA_3,8.276515,60.179623,2.2440193
HOUSEHOLD_1_214,CA_3,7.846596,56.70746,1.7812868
FOODS_3_570,CA_3,7.84102,56.56189,1.6747482
FOODS_3_295,TX_3,7.827455,56.787014,1.9948262
FOODS_3_540,TX_2,7.8238025,56.505795,1.739177
HOBBIES_1_371,CA_3,7.7525754,56.062958,1.794931
HOUSEHOLD_1_409,WI_3,7.7207055,55.903526,1.8585881
FOODS_3_263,WI_1,7.708328,56.27627,2.3179746
FOODS_3_501,WI_1,7.6840963,55.737034,1.9483635
FOODS_3_007,TX_2,7.6809287,55.821033,2.0545328
FOODS_3_607,CA_2,7.608648,55.253716,1.9931767
FOODS_3_524,CA_3,7.5572934,54.576916,1.6758667
FOODS_3_290,WI_2,7.549575,55.13889,2.2918675
FOODS_2_326,CA_2,7.440064,54.331562,2.2511141
FOODS_3_233,CA_1,7.366351,53.52543,1.960974
FOODS_3_228,CA_2,7.3577113,53.35998,1.856003
FOODS_2_322,WI_2,7.305183,52.88072,1.7444395
HOUSEHOLD_1_430,TX_1,7.222824,52.059925,1.5001525
FOODS_1_161,CA_2,7.1737924,52.220753,2.0042026
HOUSEHOLD_1_535,CA_1,7.080804,51.320713,1.7550868
FOODS_3_739,TX_2,6.928535,50.419544,1.9198006
FOODS_3_406,WI_3,6.904408,49.8308,1.4999427
FOODS_3_458,TX_1,6.8621097,50.205162,2.1703942
FOODS_3_652,CA_1,6.826955,49.543285,1.7546004
FOODS_3_654,CA_3,6.8092957,49.582603,1.9175342
HOBBIES_1_178,CA_1,6.6608386,48.540657,1.9147865
FOODS_3_070,TX_2,6.6487336,48.22881,1.6876742
FOODS_3_752,CA_1,6.6182528,48.424953,2.097184
HOUSEHOLD_1_234,CA_2,6.5237093,47.48985,1.8238853
HOUSEHOLD_1_439,CA_3,6.5186377,47.433468,1.8030049
FOODS_3_393,CA_1,6.5030975,47.556267,2.0345795
FOODS_3_503,WI_2,6.4982953,47.518593,2.0305254
HOBBIES_1_354,CA_1,6.4814143,47.115673,1.7457762
HOBBIES_1_048,CA_2,6.4157977,47.21829,2.3077075
FOODS_3_752,WI_1,6.4093566,47.12225,2.2567506
FOODS_2_347,WI_1,6.4057946,46.307613,1.467053
FOODS_3_574,TX_3,6.367368,46.927155,2.355577
HOBBIES_1_387,CA_2,6.350128,46.48824,2.0373409
FOODS_3_446,CA_3,6.2878013,46.10965,2.0950387
FOODS_3_635,TX_2,6.1948886,44.967552,1.6033329
FOODS_3_772,CA_3,6.100684,44.409645,1.7048589
FOODS_3_572,TX_1,6.0828614,45.14105,2.5610192
HOUSEHOLD_1_521,CA_2,6.067881,44.2911,1.8159338
HOBBIES_1_404,WI_1,6.0515127,44.60243,2.2418437
FOODS_3_573,CA_3,6.0476794,43.96689,1.633133
FOODS_1_012,TX_1,6.0314317,44.19028,1.9702586
FOODS_3_109,TX_2,5.983527,43.45283,1.568147
FOODS_3_030,WI_1,5.981393,43.66738,1.7976303
FOODS_3_404,CA_3,5.9392905,43.456623,1.8815881
FOODS_2_293,CA_1,5.9358172,43.56236,2.0116403
FOODS_3_399,CA_3,5.880381,43.007324,1.8446561
FOODS_2_093,WI_2,5.7929606,42.81016,2.2594376
HOUSEHOLD_1_387,CA_3,5.769171,42.23755,1.8533496
FOODS_3_299,CA_2,5.7383914,42.11179,1.9430525
HOUSEHOLD_1_304,TX_2,5.731358,42.2487,2.1291945
FOODS_3_526,CA_2,5.72141,41.967175,1.917305
FOODS_1_096,TX_1,5.7169433,42.03318,2.0145786
HOBBIES_1_288,CA_1,5.686172,41.628796,1.8255959
FOODS_3_540,CA_1,5.6302543,41.62608,2.2143002
HOUSEHOLD_1_418,WI_1,5.5033464,41.047752,2.5243225
FOODS_2_346,CA_3,5.4969473,40.658997,2.180365
FOODS_2_197,TX_3,5.4465737,39.955692,1.8296754
FOODS_2_368,TX_2,5.4377527,39.98187,1.9175957
FOODS_3_652,CA_2,5.397279,39.939808,2.1588523
FOODS_3_469,WI_3,5.3869886,40.254303,2.5453854
HOUSEHOLD_1_051,CA_2,5.3811297,39.88694,2.2190318
FOODS_3_697,TX_1,5.3637595,39.868282,2.3219645
FOODS_2_360,CA_4,5.3150053,39.14759,1.9425558
